slug,firm_name,short_description,founding_year,team_size_label,office_locations,languages,jurisdictions,practice_areas,website,sources,key_lawyer_slugs,verified,featured,status
vassallo-associates,Vassallo Associates,"Specialist multidisciplinary firm with strong litigation-led gaming practice. Advises operators on MGA investigations, regulatory compliance, and cross-border dispute resolution.",1870,11-50,"Valletta, Malta; United Kingdom",English,malta;united-kingdom,licensing;regulatory-compliance;litigation-disputes;aml-kyc,https://www.hvassallo.com/,https://www.hvassallo.com/practice-areas/igaming-law-malta/ | https://mt.linkedin.com/company/vassallo-associates,,true,false,published
wh-partners,WH Partners,Leading gaming and fintech law firm founded 2006 with pan-European expertise. Named CEE Gaming Law Firm of the Year 2026; advises major operators on compliance and M&A across jurisdictions.,2006,11-50,"Valletta, Malta; Rome, Italy; Bucharest, Romania; Malta; Italy; Romania; Czech Republic; Poland; UAE",English; Italian; Romanian,malta;italy,licensing;regulatory-compliance;aml-kyc;corporate-ma;tax;data-protection-gdpr,https://whpartners.eu/,https://whpartners.eu/industry/gaming-gambling/ | https://www.legal500.com/firms/16324-wh-partners/c-malta/about | https://whpartners.eu/about/ | https://chambers.com/law-firm/wh-partners-europe-7:250518,,true,true,published
akd-benelux-lawyers,AKD Benelux Lawyers,"Full-service Benelux firm with 500+ lawyers advising on gaming, betting and remote gambling regulations.",,200+,"Amsterdam, Netherlands; Breda, Netherlands; Eindhoven, Netherlands; Rotterdam, Netherlands; Brussels, Belgium; Luxembourg, Luxembourg",Dutch; English; French,netherlands;belgium,licensing;regulatory-compliance;commercial-contracts;tax,https://www.akd.eu/,https://www.akd.eu/industry/gaming-and-betting | https://www.akd.eu/insights/betting-and-gaming-act-in-the-netherlands | https://iclg.com/firms/akd-benelux-lawyers,,true,false,published
blenheim,Blenheim,"Medium-sized Amsterdam law firm advising on gaming licensing, KSA compliance, and gambling enforcement.",2001,51-200,"Amsterdam, Netherlands",Dutch; English,netherlands,licensing;regulatory-compliance;commercial-contracts;litigation-disputes;responsible-gaming,https://www.blenheim.nl/en/,https://www.blenheim.nl/en/about-us/about-blenheim/ | https://www.blenheim.nl/en/practice-areas/administrative-law/gaming-law/ | https://chambers.com/law-firm/bureau-brandeis-europe-7:22756486,,true,false,published
bureau-brandeis,Bureau Brandeis,"Specialist dispute resolution and regulatory practice advising on KSA enforcement, licensing and gaming litigation.",2013,51-200,"Amsterdam, Netherlands; Paris, France",Dutch; English; French,netherlands,licensing;regulatory-compliance;litigation-disputes;aml-kyc,https://bureaubrandeis.com/,https://www.legal500.com/firms/16825-bureau-brandeis/c-netherlands/about | https://chambers.com/law-firm/bureau-brandeis-europe-7:22756486 | https://bureaubrandeis.com/?lang=en,,true,false,published
franssen-tolboom,Franssen Tolboom,"Boutique gambling law firm specialising in gaming, fintech, sports and media with 25+ years sector experience.",2025,11-50,"Amsterdam, Netherlands",Dutch; English,netherlands,licensing;regulatory-compliance;aml-kyc;corporate-ma;payments-fintech;advertising-promotions;responsible-gaming;data-protection-gdpr;commercial-contracts;litigation-disputes,https://www.franssentolboom.nl/en/home-english/,https://www.franssentolboom.nl/en/law-firm-franssen-tolboom-launches-on-january-1-2025/ | https://practiceguides.chambers.com/practice-guides/gaming-law-2025/netherlands/trends-and-developments | https://iclg.com/firms/franssen-tolboom,,true,false,published
gaming-legal-group,Gaming Legal Group,"Global niche gaming specialist with litigation and compliance practices across Netherlands, Malta, and Curaçao.",2011,11-50,"Halfweg, Netherlands; Malta; Curaçao",Dutch; English,netherlands;malta;curacao,licensing;regulatory-compliance;litigation-disputes;aml-kyc;commercial-contracts,https://www.gaminglegalgroup.com/,https://www.gaminglegalgroup.com/ | https://iclg.com/firms/gaming-legal-group-glg-litigation | https://www.yelp.com/biz/gaming-legal-group-halfweg-2,,true,false,published
gofaizen-and-sherle,Gofaizen & Sherle,International FinTech and iGaming specialist assisting with Netherlands KSA licensing and compliance.,,11-50,"Tallinn, Estonia; Vilnius, Lithuania",English; Swedish,estonia;lithuania,licensing;regulatory-compliance;aml-kyc;payments-fintech;market-entry-strategy,https://gofaizen-sherle.com/,https://gofaizen-sherle.com/ | https://gofaizen-sherle.com/gambling-license/netherlands | https://gofaizen-sherle.com/about | https://gofaizen-sherle.com/gambling-license/sweden | https://gofaizen-sherle.com,,true,false,published
kalff-katz-and-franssen,Kalff Katz & Franssen,"Exclusive boutique specialising 25+ years in gaming and gambling law, media and entertainment sectors.",2001,11-50,"Amsterdam, Netherlands",Dutch; English,netherlands,licensing;regulatory-compliance;aml-kyc;corporate-ma;commercial-contracts;advertising-promotions;responsible-gaming,https://www.kalffkatzfranssen.nl/en/,https://www.kalffkatzfranssen.nl/en/about-us/ | https://iclg.com/firms/kalff-katz-and-franssen-advocaten | https://www.gaminglaw.eu/about/kalff-katz-franssen/,,true,true,published
law-and-more,Law and More,"Multidisciplinary Dutch firm advising on gambling licensing, KSA compliance, and regulatory requirements.",,11-50,"Amsterdam, Netherlands; Eindhoven, Netherlands",Dutch; English,netherlands,licensing;regulatory-compliance;commercial-contracts;corporate-ma,https://lawandmore.eu/,https://lawandmore.eu/about-us/ | https://lawandmore.eu/blog/the-dutch-gambling-act/,,true,false,published
stibbe,Stibbe,International full-service firm with public law expertise advising market leaders on gaming administration law.,,200+,"Amsterdam, Netherlands; Brussels, Belgium; Luxembourg, Luxembourg; London, United Kingdom; New York, United States",Dutch; English; French,netherlands;belgium;united-kingdom;united-states,regulatory-compliance;litigation-disputes;commercial-contracts,https://www.stibbe.com/,https://www.stibbe.com/ | https://chambers.com/law-firm/stibbe-europe-7:3874 | https://chambers.com/department/stibbe-public-law-europe-7:572:155:1:3874,,true,false,published
advokatbyr-n-gulliksson,Advokatbyrån Gulliksson,"Commercial law firm specializing in gaming and betting industry, advising participants and organizations on licensing.",1975,11-50,"Malmö, Sweden; Lund, Sweden",Swedish; English,sweden,licensing;regulatory-compliance;intellectual-property;commercial-contracts;advertising-promotions,https://www.gulliksson.se,https://www.gulliksson.se/en/services/gaming-and-betting/ | https://www.legal500.com/firms/11090-advokatbyran-gulliksson/11824-malmo-sweden/,,true,false,published
cirio,Cirio,"Business law firm with specialized gaming sector practice handling M&A, regulatory issues and operator compliance.",2019,51-200,"Stockholm, Sweden",Swedish; English,sweden,licensing;regulatory-compliance;corporate-ma;commercial-contracts;data-protection-gdpr,https://cirio.se,https://cirio.se/en/sectors/digital/gaming | https://chambers.com/law-firm/cirio-advokatbyra-ab-europe-7:23110472,,true,false,published
delorean-advokat,DeLorean Advokat,"Stockholm-based business law firm advising on gambling litigation, regulatory compliance and dispute resolution.",,1-10,"Stockholm, Sweden",Swedish; English,sweden,licensing;regulatory-compliance;litigation-disputes;commercial-contracts,https://www.delorean.law,https://www.delorean.law/case/swedish-gambling-casinos/ | https://www.delorean.law,,true,false,published
gernandt-and-danielsson,Gernandt & Danielsson,"Leading business law firm providing gaming law advisory, regulatory analysis and capital markets advice.",1992,51-200,"Stockholm, Sweden",Swedish; English,sweden,licensing;regulatory-compliance;commercial-contracts,https://gernandt-danielsson.se,https://www.legal500.com/guides/chapter/sweden-gambling-law/ | https://chambers.com/law-firm/gernandt-danielsson-advokatbyra-kb-global-2:4006,,true,false,published
lawyer-se,Lawyer.se,Video game and gaming law specialist firm representing game studios and developers on licensing and IP.,2001,1-10,"Åre, Sweden",Swedish; English,sweden,licensing;intellectual-property;commercial-contracts;skill-games-fantasy-sports,https://lawyer.se,https://lawyer.se | https://lawyer.se/video-game-attorney/,,true,false,published
mannheimer-swartling,Mannheimer Swartling,Nordic leading law firm with broad expertise in regulatory law and highly regulated sectors including gaming.,,200+,"Stockholm, Sweden; Gothenburg, Sweden; Malmö, Sweden",Swedish; English,sweden,regulatory-compliance;litigation-disputes;commercial-contracts,https://www.mannheimerswartling.se,https://www.mannheimerswartling.se/en/ | https://chambers.com/law-firm/mannheimer-swartling-europe-7:4024,,true,false,published
nur-legal,NUR Legal,Fintech and iGaming licensing specialist with multi-jurisdictional expertise including Swedish licensing.,,11-50,"Tallinn, Estonia",English; Swedish,estonia,licensing;regulatory-compliance;aml-kyc;market-entry-strategy,https://www.nur-legal.com,https://www.nur-legal.com/gambling-licenses/swedish-gambling-license | https://www.nur-legal.com/about-us,,true,false,published
schj-dt,Schjødt,Nordic law firm with Swedish office providing gambling law expertise and regulatory analysis.,,200+,"Stockholm, Sweden; Oslo, Norway; Copenhagen, Denmark",Swedish; English,sweden;norway;denmark,licensing;regulatory-compliance;litigation-disputes,https://schjodt.com,https://schjodt.com/news/gambling-new-landmark-ruling-from-the-swedish-supreme-court | https://www.legal500.com/firms/10502-advokatfirmaet-schjodt/c-sweden/about,,true,false,published
synch,Synch,"Forward-thinking tech law firm with gaming sector expertise in regulatory, IP and fintech matters.",2014,11-50,"Stockholm, Sweden",Swedish; English,sweden,licensing;regulatory-compliance;intellectual-property;data-protection-gdpr;payments-fintech,https://www.synch.law,https://www.synch.law | https://www.legal500.com/rankings/ranking/c-sweden/commercial-corporate-and-ma/17315-synch-law-ab,,true,false,published
vinge,Vinge,"Large full-service law firm with extensive expertise in gaming law, licensing agreements and regulatory compliance.",,200+,"Stockholm, Sweden; Gothenburg, Sweden; Malmö, Sweden",Swedish; English,sweden,licensing;regulatory-compliance;commercial-contracts;intellectual-property;advertising-promotions;sports-betting,https://www.vinge.se,https://www.vinge.se/en/expertise/practice-areas/sports-events-gaming-and-media/ | https://chambers.com/law-firm/advokatfirman-vinge-kb-europe-7:4035,,true,false,published
westerberg-and-partners,Westerberg & Partners,Boutique IP and dispute resolution firm with specialized gambling law team advising major Swedish operators.,2019,11-50,"Stockholm, Sweden",Swedish; English,sweden,licensing;regulatory-compliance;litigation-disputes;intellectual-property;commercial-contracts,https://westerberg.com,https://practiceguides.chambers.com/practice-guides/gaming-law-2025/sweden | https://www.legal500.com/firms/231729-westerberg-partners/231613-stockholm-sweden/,,true,false,published
wiklund-law,Wiklund Law,"Specialist EU and competition law firm with deep gaming expertise across sports betting, poker, casinos and lotteries.",,1-10,Sweden,Swedish; English,sweden,licensing;regulatory-compliance;commercial-contracts;sports-betting;poker;casino,https://www.wiklaw.eu,https://practiceguides.chambers.com/practice-guides/gaming-law-2024/sweden | https://www.wiklaw.eu,,true,false,published
bird-and-bird-llp,Bird & Bird LLP,"Global firm advising on all aspects of UK gambling regulation, licensing, compliance, and commercial transactions.",1846,200+,"London, United Kingdom; Brussels, Belgium; Frankfurt, Germany; Paris, France; Singapore",English,united-kingdom;germany;belgium,licensing;regulatory-compliance;advertising-promotions;data-protection-gdpr;commercial-contracts;corporate-ma,https://www.twobirds.com/en/gambling-law,https://www.legal500.com/rankings/ranking/c-london/crime-fraud-and-licensing/gaming-and-betting/342-bird-bird-llp | https://www.twobirds.com/en/gambling-law,,true,false,published
bryan-cave-leighton-paisner-bclp,Bryan Cave Leighton Paisner (BCLP),"Global firm handling licensing applications, regulatory enforcement, and complex gaming transactions for major operators.",2018,200+,"London, United Kingdom; New York, United States; Los Angeles, United States",English,united-kingdom;united-states,licensing;regulatory-compliance;corporate-ma;commercial-contracts;litigation-disputes,https://www.bclplaw.com/en-US/practices/regulation-compliance-and-advisory/betting-gaming.html,https://www.legal500.com/rankings/ranking/c-london/crime-fraud-and-licensing/gaming-and-betting/50162-bryan-cave-leighton-paisner | https://www.bclplaw.com/en-US/practices/regulation-compliance-and-advisory/betting-gaming.html,,true,false,published
cms,CMS,"Global firm with substantial gambling practice advising operators on regulatory matters, transactions and enforcement.",1999,200+,"London, United Kingdom; Manchester, United Kingdom; Birmingham, United Kingdom; Edinburgh, United Kingdom",English,united-kingdom,licensing;regulatory-compliance;aml-kyc;corporate-ma;data-protection-gdpr;commercial-contracts;sports-betting;responsible-gaming,https://cms.law/en/gbr/global-reach/europe/united-kingdom/expertise/tmt-technology-media-telecommunications/gambling,https://chambers.com/department/cms-gaming-uk-1:2730:11805:1:7489 | https://cms.law/en/gbr/global-reach/europe/united-kingdom/expertise/tmt-technology-media-telecommunications/gambling,,true,false,published
harris-hagan,Harris Hagan,"City of London specialist gambling firm with 20+ years experience in licensing, regulation and enforcement for all operator types.",2004,1-10,"London, United Kingdom",English,united-kingdom,licensing;regulatory-compliance;aml-kyc;responsible-gaming;corporate-ma,https://www.harrishagan.com/,https://chambers.com/law-firm/harris-hagan-uk-1:92969 | https://www.harrishagan.com/,,true,true,published
herbert-smith-freehills-kramer,Herbert Smith Freehills Kramer,"Global firm advising on UK gambling regulation, licensing, M&A and emerging issues like loot boxes and responsible gaming.",1882,200+,"London, United Kingdom; Belfast, United Kingdom; Paris, France; Munich, Germany",English,united-kingdom;germany,licensing;regulatory-compliance;corporate-ma;data-protection-gdpr;intellectual-property;commercial-contracts,https://www.hsfkramer.com/capabilities/sectors/media-entertainment-and-sport/gaming-and-gambling,https://www.legal500.com/c/london/crime-fraud-and-licensing/gaming-and-betting/ | https://www.hsfkramer.com/capabilities/sectors/media-entertainment-and-sport/gaming-and-gambling,,true,false,published
hugh-james,Hugh James,"Wales-based firm founded 1960 advising international operators on licensing, compliance and contentious gaming matters.",1960,51-200,"Cardiff, United Kingdom; London, United Kingdom; Manchester, United Kingdom",English; Welsh,united-kingdom,licensing;regulatory-compliance;commercial-contracts;litigation-disputes;intellectual-property,https://www.hughjames.com/services/gaming-gambling-law/,https://chambers.com/law-firm/hugh-james-uk-1:203 | https://www.hughjames.com/services/gaming-gambling-law/,,true,false,published
joelson-llp,Joelson LLP,"London firm since 1956 advising remote and land-based operators on licensing, compliance, age verification, and AML/KYC.",1956,11-50,"London, United Kingdom",English,united-kingdom,licensing;regulatory-compliance;aml-kyc;advertising-promotions;responsible-gaming,https://joelsonlaw.com/sectors/gambling-gaming-betting-law-team/,https://www.legal500.com/firms/1819-joelson/278-london-england/ | https://joelsonlaw.com/sectors/gambling-gaming-betting-law-team/,,true,false,published
keystone-law,Keystone Law,"Top 100 firm providing comprehensive gambling law advice on licensing, regulatory compliance, and contentious gaming matters.",2002,200+,"London, United Kingdom; Bristol, United Kingdom; Leeds, United Kingdom; Newcastle, United Kingdom; London; Bristol; Leeds; Manchester; Newcastle; Isle of Man; Adelaide; Brisbane; Canberra; Melbourne; Sydney",English,united-kingdom;isle-of-man,licensing;regulatory-compliance;corporate-ma;commercial-contracts;litigation-disputes,https://www.keystonelaw.com/sectors/gambling,https://chambers.com/department/keystone-law-gaming-uk-1:2730:11805:1:171702 | https://www.keystonelaw.com/sectors/gambling | https://keystonelaw.com/international/isle-of-man/ | https://www.legal500.com/c/isle-of-man,,true,false,published
memery-crystal,Memery Crystal,"London firm established 1978, advising on lottery schemes, gambling law interpretations, product classifications and disputes.",1978,11-50,"London, United Kingdom",English,united-kingdom,licensing;regulatory-compliance;litigation-disputes;intellectual-property,https://www.lexology.com/firms/2244,https://chambers.com/department/memery-crystal-gaming-uk-1:2730:11805:1:282 | https://www.legal500.com/firms/2322-memery-crystal/r-england/rankings,,true,false,published
mishcon-de-reya-llp,Mishcon de Reya LLP,"Tier 1-ranked firm advising operators on licensing, compliance, regulatory investigations, and complex commercial matters.",1988,200+,"London, United Kingdom; Cambridge, United Kingdom; Oxford, United Kingdom; Singapore; Dubai",English,united-kingdom,licensing;regulatory-compliance;aml-kyc;corporate-ma;litigation-disputes;responsible-gaming;skill-games-fantasy-sports,https://www.mishcon.com/services/betting,https://chambers.com/department/mishcon-de-reya-llp-gaming-uk-1:2730:11805:1:292 | https://www.mishcon.com/services/betting,,true,true,published
northridge-law-llp,Northridge Law LLP,"Specialist gaming firm providing regulatory expertise, compliance support, and dispute resolution for online and offline operators.",2017,11-50,"London, United Kingdom",English,united-kingdom,licensing;regulatory-compliance;aml-kyc;commercial-contracts;litigation-disputes,https://northridgelaw.com/work/betting-gaming/,https://chambers.com/law-firm/northridge-uk-1:23023873 | https://northridgelaw.com/work/betting-gaming/,,true,false,published
pinsent-masons-llp,Pinsent Masons LLP,"Global firm with gambling practice advising operators on regulatory compliance, licensing and emerging regulatory issues.",2003,200+,"London, United Kingdom; Manchester, United Kingdom; Edinburgh, United Kingdom; Glasgow, United Kingdom",English,united-kingdom,licensing;regulatory-compliance;aml-kyc;corporate-ma;commercial-contracts,https://www.pinsentmasons.com/out-law/topics/gambling,https://www.legal500.com/rankings/ranking/c-london/crime-fraud-and-licensing/gaming-and-betting/2251-pinsent-masons-llp | https://www.pinsentmasons.com/out-law/topics/gambling,,true,false,published
poppleston-allen,Poppleston Allen,"UK's largest licensing firm specializing in gambling regulation, compliance and licensing for online and land-based operators.",1994,51-200,"Nottingham, United Kingdom; London, United Kingdom",English,united-kingdom,licensing;regulatory-compliance;responsible-gaming,https://www.popall.co.uk/sectors/gambling-licensing,https://chambers.com/department/poppleston-allen-gaming-uk-1:2730:11805:1:332 | https://www.popall.co.uk/sectors/gambling-licensing,,true,false,published
wiggin-llp,Wiggin LLP,"Top-tier gaming firm advising operators on licensing, compliance, IP, M&A and regulatory matters.",2004,51-200,"Cheltenham, United Kingdom; London, United Kingdom; Brussels, Belgium",English,united-kingdom,licensing;regulatory-compliance;corporate-ma;commercial-contracts;litigation-disputes;intellectual-property;responsible-gaming,https://www.wiggin.co.uk/expertise/betting-and-gaming-law/,https://chambers.com/department/wiggin-llp-gaming-uk-1:2730:11805:1:1056 | https://www.wiggin.co.uk/expertise/betting-and-gaming-law/,,true,true,published
woods-whur,Woods Whur,"Specialist gambling firm founded 2011, advising operators on licensing, compliance and regulatory matters for casino and betting sectors.",2011,11-50,"London, United Kingdom; Leeds, United Kingdom; Newcastle, United Kingdom",English,united-kingdom,licensing;regulatory-compliance;responsible-gaming,https://www.woodswhur.co.uk/,https://chambers.com/law-firm/woods-whur-uk-1:22566942 | https://www.woodswhur.co.uk/,,true,false,published
akerman-llp,Akerman LLP,"700-attorney Florida-based firm. Gaming team in Miami and Fort Lauderdale advises on gaming, entertainment, and regulatory matters.",1920,200+,"Miami, Florida; Fort Lauderdale, Florida; Tampa, Florida; Orlando, Florida",English,united-states,licensing;regulatory-compliance;sports-betting,https://www.akerman.com,https://www.akerman.com/en/work/services/sectors/sports-gaming-and-entertainment/index.html | https://chambers.com/law-firm/akerman-llp-usa-5:65304,,true,false,published
brownstein-hyatt-farber-schreck-llp,Brownstein Hyatt Farber Schreck LLP,"Full-service firm with leading gaming practice across Las Vegas, Atlantic City, and Denver. Top-ranked by Chambers USA nationally.",1968,200+,"Denver, Colorado; Las Vegas, Nevada; Atlantic City, New Jersey",English,united-states,licensing;regulatory-compliance;corporate-ma;litigation-disputes;commercial-contracts,https://www.bhfs.com,https://www.bhfs.com/about/history/ | https://chambers.com/law-firm/brownstein-hyatt-farber-schreck-llp-usa-5:65262,,true,false,published
covington-and-burling-llp,Covington & Burling LLP,"1,400+ attorney DC-headquartered international firm. Gaming practice handles complex M&A, litigation, and regulatory matters.",1919,200+,"Washington, District of Columbia; New York, New York; San Francisco, California; London, United Kingdom",English,united-states;united-kingdom,licensing;regulatory-compliance;corporate-ma;litigation-disputes;aml-kyc,https://www.cov.com,https://www.cov.com/en/practices-and-industries/industries/gaming | https://chambers.com/law-firm/covington-burling-llp-usa-5:3826,,true,false,published
cozen-oconnor,Cozen O'Connor,"1,000+ attorney firm with gaming practice spanning casino operations, fantasy sports, and online betting across 33 cities.",1970,200+,"Philadelphia, Pennsylvania; Las Vegas, Nevada; New York, New York; Washington, District of Columbia; Chicago, Illinois",English,united-states,licensing;regulatory-compliance;sports-betting;casino;skill-games-fantasy-sports,https://www.cozen.com,https://www.cozen.com/industries/gaming | https://law.usnews.com/law-firms/cozen-o-connor-660,,true,false,published
dickinson-wright-pllc,Dickinson Wright PLLC,"550+ attorney firm recognized by Chambers USA. Multi-disciplinary gaming team across Las Vegas, Reno, and other major jurisdictions.",1878,200+,"Detroit, Michigan; Las Vegas, Nevada; Reno, Nevada; Chicago, Illinois; Miami, Florida",English,united-states,licensing;regulatory-compliance;corporate-ma;litigation-disputes;market-entry-strategy,https://www.dickinson-wright.com,https://www.dickinson-wright.com/practice-areas/gaming-law | https://chambers.com/law-firm/dickinson-wright-pllc-usa-5:3837,,true,false,published
duane-morris-llp,Duane Morris LLP,"Philadelphia-headquartered firm with 29 offices. Gaming team handles regulatory licensing, sports betting, and iGaming matters.",1904,200+,"Philadelphia, Pennsylvania; New York, New York; Washington, District of Columbia; Chicago, Illinois",English,united-states,licensing;regulatory-compliance;sports-betting;casino;affiliate-compliance,https://www.duanemorris.com,https://www.duanemorris.com/practices/gaming.html | https://law.usnews.com/law-firms/duane-morris-llp-1347,,true,false,published
faegre-drinker-biddle-and-reath-llp,Faegre Drinker Biddle & Reath LLP,"1,300-attorney firm with sports and gaming expertise. Represents major US sports franchises and gaming operators on regulatory matters.",1849,200+,"Minneapolis, Minnesota; Philadelphia, Pennsylvania; Chicago, Illinois; Denver, Colorado; New York, New York",English,united-states,licensing;regulatory-compliance;corporate-ma;sports-betting;affiliate-compliance,https://www.faegredrinker.com,https://www.faegredrinker.com/en/insights/topics/sports-and-gaming | https://chambers.com/law-firm/faegre-drinker-biddle-reath-llp-usa-5:3587,,true,false,published
fox-rothschild-llp,Fox Rothschild LLP,"Multi-office national firm with dedicated gaming team serving casino operators, online gaming companies, and equipment manufacturers.",1907,200+,"Philadelphia, Pennsylvania; New York, New York; Washington, District of Columbia; Miami, Florida",English,united-states,licensing;regulatory-compliance;corporate-ma;litigation-disputes;commercial-contracts,https://www.foxrothschild.com,https://www.foxrothschild.com/gaming | https://law.usnews.com/law-firms/fox-rothschild-llp-703,,true,false,published
greenberg-traurig-llp,Greenberg Traurig LLP,"3,100-attorney international firm providing gaming regulatory and transactional advice across iGaming, tribal gaming, and licensing.",1967,200+,"Miami, Florida; Dallas, Texas; Chicago, Illinois; Washington, District of Columbia; New York, New York",English,united-states,licensing;regulatory-compliance;corporate-ma;litigation-disputes;commercial-contracts;sports-betting;casino,https://www.gtlaw.com,https://www.gtlaw.com/en/capabilities/gaming | https://chambers.com/law-firm/greenberg-traurig-llp-usa-5:3786,,true,false,published
holland-and-knight-llp,Holland & Knight LLP,"2,174-attorney firm with gaming practice across Miami, Tallahassee, and DC. Advises casinos, tribal entities, and operators.",1929,200+,"Tampa, Florida; Miami, Florida; Tallahassee, Florida; Washington, District of Columbia",English,united-states,licensing;regulatory-compliance;corporate-ma;litigation-disputes;sports-betting;casino,https://www.hklaw.com,https://www.hklaw.com/en/services/practices/litigation-and-dispute-resolution/gaming | https://law.usnews.com/law-firms/holland-knight-llp-1020,,true,false,published
ifrah-law-pllc,Ifrah Law PLLC,"Boutique DC firm specializing in iGaming, sports betting, and online gaming regulatory matters. Ranked Band 1 nationally by Chambers USA.",2009,1-10,"Washington, District of Columbia",English,united-states,licensing;regulatory-compliance;aml-kyc;sports-betting;casino;affiliate-compliance,https://www.ifrahlaw.com,https://www.ifrahlaw.com/ | https://chambers.com/law-firm/ifrah-law-usa-5:232884,,true,true,published
jones-walker-llp,Jones Walker LLP,"Louisiana-based firm with largest gaming practice in Southeast. Advises casinos, tribes, and gaming manufacturers on all regulatory matters.",1937,200+,"New Orleans, Louisiana; Baton Rouge, Louisiana; Lafayette, Louisiana; Lake Charles, Louisiana",English,united-states,licensing;regulatory-compliance;corporate-ma;litigation-disputes;market-entry-strategy,https://www.joneswalker.com,https://www.joneswalker.com/en/ | https://chambers.com/law-firm/jones-walker-llp-usa-5:65252,,true,false,published
k-and-l-gates-llp,K&L Gates LLP,"1,910-attorney global firm with betting and gaming practice. Team monitors US and international gaming regulatory developments.",2007,200+,"Washington, District of Columbia; New York, New York; Chicago, Illinois; San Francisco, California; Seattle, Washington",English,united-states,licensing;regulatory-compliance;sports-betting;casino;affiliate-compliance,https://www.klgates.com,https://www.klgates.com/betting-gaming | https://chambers.com/law-firm/kl-gates-usa-5:3581,,true,false,published
mcdonald-carano-llp,McDonald Carano LLP,"Nevada's most established gaming law firm since 1949. Advises on casino, mobile gaming, and restricted gaming regulatory matters.",1949,51-200,"Reno, Nevada; Las Vegas, Nevada; Carson City, Nevada",English,united-states,licensing;regulatory-compliance;casino;corporate-ma;commercial-contracts,https://www.mcdonaldcarano.com,https://www.mcdonaldcarano.com/practice-areas/gaming-administrative-law/ | https://chambers.com/law-firm/mcdonald-carano-usa-5:65649,,true,false,published
nelson-mullins-riley-and-scarborough-llp,Nelson Mullins Riley & Scarborough LLP,"Am Law 100 firm with 1,000+ attorneys. Gaming team advises operators, tribes, and vendors on regulatory and transactional matters.",1897,200+,"Columbia, South Carolina; Charleston, South Carolina; Greenville, South Carolina; Atlanta, Georgia",English,united-states,licensing;regulatory-compliance;corporate-ma;sports-betting;casino;affiliate-compliance,https://www.nelsonmullins.com,https://www.nelsonmullins.com/services/gaming2 | https://chambers.com/law-firm/nelson-mullins-riley-scarborough-llp-usa-5:1768,,true,false,published
orrick-herrington-and-sutcliffe-llp,Orrick Herrington & Sutcliffe LLP,"1,370-attorney firm with 30-year track record in iGaming and sports betting. Advises operators on M&A, regulatory, and compliance matters.",1863,200+,"San Francisco, California; New York, New York; Los Angeles, California; Washington, District of Columbia",English,united-states,licensing;regulatory-compliance;corporate-ma;sports-betting;casino;aml-kyc,https://www.orrick.com,https://www.orrick.com/en/Practices/Gaming-and-Gambling | https://law.usnews.com/law-firms/orrick-herrington-&-sutcliffe-llp-859,,true,false,published
saiber-llc,Saiber LLC,New Jersey gaming pioneer since 1978 Atlantic City legalization. Advises iGaming operators and sports wagering companies nationwide.,1950,51-200,"Madison, New Jersey; New York, New York; Philadelphia, Pennsylvania",English,united-states,licensing;regulatory-compliance;corporate-ma;sports-betting;casino;affiliate-compliance,https://www.saiber.com,https://www.saiber.com/services/regulatory-compliance/gaming-law | https://www.saiber.com/about/history,,true,false,published
womble-bond-dickinson-us-llp,Womble Bond Dickinson (US) LLP,"32+ US offices including Las Vegas. Gaming team advises on regulatory compliance, licensing, and litigation for gaming operators.",,200+,"Winston-Salem, North Carolina; Charlotte, North Carolina; Las Vegas, Nevada; Washington, District of Columbia; Atlanta, Georgia",English,united-states,licensing;regulatory-compliance;litigation-disputes;intellectual-property,https://www.womblebonddickinson.com/us,https://www.womblebonddickinson.com/us/sectors/gaming | https://chambers.com/law-firm/womble-bond-dickinson-us-llp-usa-5:2821,,true,false,published
zwillgen-pllc,ZwillGen PLLC,Washington DC-founded firm with 50 attorneys across 4 offices. Ranked Band 3 by Chambers USA for gaming and privacy law.,2010,11-50,"Washington, District of Columbia; New York, New York; Chicago, Illinois; San Francisco, California",English,united-states,licensing;regulatory-compliance;data-protection-gdpr;aml-kyc;sports-betting;advertising-promotions,https://www.zwillgen.com,https://www.zwillgen.com/ | https://chambers.com/law-firm/zwillgen-pllc-usa-5:237870,,true,false,published
